City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
92,Cape Town,ZA,2021-02-04 19:06:22,-33.9258,18.4232,70.0,73,0,17.27
93,Tahe,CN,2021-02-04 19:10:14,52.3333,124.7333,-13.0,88,100,1.28
94,Tual,ID,2021-02-04 19:09:19,-5.6667,132.75,82.85,79,100,26.35
95,Vila Franca Do Campo,PT,2021-02-04 19:10:15,37.7167,-25.4333,55.4,67,40,25.32
96,Kesova Gora,RU,2021-02-04 19:10:15,57.5836,37.2922,7.65,96,100,7.31
97,Egvekinot,RU,2021-02-04 19:10:18,66.3167,-179.1667,-27.29,82,100,20.74
98,Pevek,RU,2021-02-04 19:10:18,69.7008,170.3133,-14.28,80,0,8.5
99,Qaanaaq,GL,2021-02-04 19:10:19,77.484,-69.3632,-21.01,58,67,6.87
100,Port Lincoln,AU,2021-02-04 19:06:50,-34.7333,135.8667,57.74,67,0,24.4
101,Isangel,VU,2021-02-04 19:10:20,-19.55,169.2667,78.1,78,27,5.01
102,Ust-Tsilma,RU,2021-02-04 19:10:20,65.441,52.1498,-1.55,91,100,6.91
103,Tuktoyaktuk,CA,2021-02-04 19:10:21,69.4541,-133.0374,-38.2,67,40,11.5
104,Salinopolis,BR,2021-02-04 19:08:34,-0.6136,-47.3561,83.64,72,89,11.7
105,Barcelos,PT,2021-02-04 19:05:23,41.5388,-8.6151,52.0,93,40,4.61
106,Chitral,PK,2021-02-04 19:10:22,35.8462,71.7858,32.95,53,0,8.32
107,Kondopoga,RU,2021-02-04 19:10:22,62.2057,34.2614,14.0,85,100,8.95
108,Charters Towers,AU,2021-02-04 19:10:23,-20.1,146.2667,73.72,87,100,10.89
109,Cabo San Lucas,MX,2021-02-04 19:10:24,22.8909,-109.9124,82.0,31,20,3.44
110,Berlevag,NO,2021-02-04 19:10:25,70.8578,29.0864,28.4,80,75,23.02
111,Zheleznodorozhnyy,RU,2021-02-04 19:07:31,55.7503,38.0042,23.0,93,90,13.42
112,Westport,US,2021-02-04 19:10:26,41.1415,-73.3579,41.0,45,1,11.5
113,Olinda,BR,2021-02-04 19:10:26,-8.0089,-34.8553,82.4,61,20,10.36
114,Kondinskoye,RU,2021-02-04 19:10:27,59.6481,67.41,8.67,94,100,6.76
115,Norman Wells,CA,2021-02-04 19:10:28,65.282,-126.8329,-50.8,65,40,3.44
116,Chhindwara,IN,2021-02-04 19:10:28,22.0667,78.9333,61.02,31,0,2.48
117,Belize,BZ,2021-02-04 19:10:29,17.25,-88.75,75.0,65,85,6.02
118,Livingston,GB,2021-02-04 19:10:29,55.9029,-3.5226,41.0,93,90,13.8
119,Vaini,TO,2021-02-04 19:10:29,-21.2,-175.2,78.8,94,75,4.61
120,Carutapera,BR,2021-02-04 19:10:30,-1.195,-46.02,85.71,64,100,10.94
121,Mount Isa,AU,2021-02-04 19:10:30,-20.7333,139.5,82.4,61,40,11.5
122,Gangawati,IN,2021-02-04 19:10:30,15.4333,76.5333,67.71,49,7,8.16
123,Mathbaria,BD,2021-02-04 19:10:31,22.2876,89.9593,60.01,59,0,4.65
124,La Mesa,US,2021-02-04 19:10:31,32.7678,-117.0231,63.0,58,1,7.0
125,Saint-Augustin,CA,2021-02-04 19:10:31,51.226,-58.6502,35.11,97,97,3.13
126,Ormond Beach,US,2021-02-04 19:10:32,29.2858,-81.0559,62.6,44,1,8.05
127,Bambous Virieux,MU,2021-02-04 19:10:32,-20.3428,57.7575,80.6,74,20,9.22
128,Bansang,GM,2021-02-04 19:10:32,13.4333,-14.65,98.6,18,0,4.61
129,Muhlhausen,DE,2021-02-04 19:10:33,51.2167,10.45,43.0,65,100,3.56
130,Waren,DE,2021-02-04 19:10:34,53.5167,12.6833,32.0,81,98,5.82
131,Hualmay,PE,2021-02-04 19:10:34,-11.0964,-77.6139,76.1,62,93,8.55
132,Le Vauclin,MQ,2021-02-04 19:10:36,14.5452,-60.8388,84.2,65,20,18.41
133,Takoradi,GH,2021-02-04 19:10:36,4.8845,-1.7554,80.51,82,46,10.54
134,Nome,US,2021-02-04 19:10:36,64.5011,-165.4064,-0.4,50,75,9.22
135,Belyy Yar,RU,2021-02-04 19:10:37,53.6039,91.3903,14.0,79,0,2.24
136,Luderitz,NA,2021-02-04 19:10:37,-26.6481,15.1594,71.56,57,0,25.08
137,Limoeiro Do Ajuru,BR,2021-02-04 19:10:38,-1.8953,-49.3806,87.04,62,100,9.08
138,Doraha,IN,2021-02-04 19:10:38,30.8167,76.0167,47.75,86,0,3.76
139,Lompoc,US,2021-02-04 19:10:38,34.6391,-120.4579,60.8,41,1,5.64
140,Tiksi,RU,2021-02-04 19:10:39,71.6872,128.8694,-23.22,87,100,3.85
141,Caravelas,BR,2021-02-04 19:10:39,-17.7125,-39.2481,83.64,62,0,10.0
142,Konstantinovka,RU,2021-02-04 19:10:39,49.6167,127.9833,-13.88,86,96,6.62
143,Ponta Do Sol,PT,2021-02-04 19:10:40,32.6667,-17.1,51.01,65,100,7.0
144,Sobolevo,RU,2021-02-04 19:10:40,54.4299,31.8996,18.63,96,100,15.59
145,Sao Joao Da Barra,BR,2021-02-04 19:10:40,-21.6403,-41.0511,86.0,58,0,20.71
146,Dorado,PR,2021-02-04 19:09:24,18.4588,-66.2677,80.6,78,75,10.36
147,Saint-Leu,RE,2021-02-04 19:10:42,-21.15,55.2833,80.6,69,75,3.44
148,Yunyang,CN,2021-02-04 19:10:42,33.4474,112.7142,44.37,62,88,3.71
149,Hammerfest,NO,2021-02-04 19:10:43,70.6634,23.6821,30.2,69,75,16.11
150,Ilyich,KZ,2021-02-04 19:10:43,40.8464,68.5067,45.1,56,3,3.98
151,Dryden,CA,2021-02-04 19:07:44,49.7833,-92.7503,10.4,79,90,14.97
152,Tasiilaq,GL,2021-02-04 19:10:44,65.6145,-37.6368,26.6,86,90,17.27
153,Troitsko-Pechorsk,RU,2021-02-04 19:10:45,62.7084,56.1964,12.76,96,100,6.4
154,Dukat,RU,2021-02-04 19:10:46,62.55,155.55,-21.96,86,100,5.55
155,Bethel,US,2021-02-04 19:10:46,41.3712,-73.414,39.2,48,1,11.5
156,Lianran,CN,2021-02-04 19:10:47,24.9227,102.485,48.0,70,0,11.18
157,Vao,NC,2021-02-04 19:10:48,-22.6667,167.4833,78.66,86,4,19.91
158,Valparaiso,CL,2021-02-04 19:07:45,-33.0393,-71.6273,64.0,77,75,8.05
159,Alenquer,BR,2021-02-04 19:10:50,-1.9417,-54.7383,87.8,70,20,11.5
160,Airai,TL,2021-02-04 19:10:50,-8.9266,125.4092,60.55,100,100,4.14
161,Castro,BR,2021-02-04 19:10:51,-24.7911,-50.0119,75.33,87,99,9.93
162,Enugu,NG,2021-02-04 19:10:51,6.4402,7.4943,84.58,14,0,1.68
163,Tukrah,LY,2021-02-04 19:10:52,32.5341,20.5791,58.06,80,0,5.26
164,Namatanai,PG,2021-02-04 19:10:52,-3.6667,152.4333,78.62,80,99,1.88
165,Camacha,PT,2021-02-04 19:10:52,33.0833,-16.3333,55.4,71,40,12.66
166,Coahuayana,MX,2021-02-04 19:10:53,18.7333,-103.6833,84.2,45,20,6.91
167,Souillac,MU,2021-02-04 19:10:53,-20.5167,57.5167,80.6,74,20,9.22
168,Miranda,CO,2021-02-04 19:10:53,3.2499,-76.2281,86.0,48,40,6.91
169,Arraial Do Cabo,BR,2021-02-04 19:10:54,-22.9661,-42.0278,89.6,54,20,16.11
170,Vardo,NO,2021-02-04 19:10:54,70.3705,31.1107,28.4,64,75,17.27
171,Rio Novo,BR,2021-02-04 19:10:54,-21.4575,-43.1253,87.01,49,48,1.99
172,New Norfolk,AU,2021-02-04 19:10:55,-42.7826,147.0587,64.0,60,60,2.15
173,Rocha,UY,2021-02-04 19:10:01,-34.4833,-54.3333,71.31,58,94,19.01
174,Cidreira,BR,2021-02-04 19:10:56,-30.1811,-50.2056,77.18,63,28,23.33
175,Adrar,MR,2021-02-04 19:10:57,20.5022,-10.0711,77.27,16,75,8.32
176,Birjand,IR,2021-02-04 19:10:57,32.8663,59.2211,33.8,15,0,6.91
177,Kampong Chhnang,KH,2021-02-04 19:10:57,12.1667,104.55,74.17,59,43,3.83
178,Honiara,SB,2021-02-04 19:10:58,-9.4333,159.95,77.38,84,100,4.43
179,Englehart,CA,2021-02-04 19:10:58,47.8169,-79.8664,12.2,92,1,2.3
180,Bathsheba,BB,2021-02-04 19:10:59,13.2167,-59.5167,84.2,58,20,21.85
181,Niort,FR,2021-02-04 19:10:59,46.3333,-0.3333,52.0,85,95,1.81
182,Eston,CA,2021-02-04 19:10:59,51.1501,-108.7514,1.4,77,75,2.3
183,Puerto Del Rosario,ES,2021-02-04 19:11:00,28.5004,-13.8627,60.8,77,20,4.61
184,Klaksvik,FO,2021-02-04 19:11:00,62.2266,-6.589,35.6,55,20,21.85
185,Solnechnyy,RU,2021-02-04 19:11:00,50.7214,136.6319,-21.32,81,15,3.11
186,Iqaluit,CA,2021-02-04 19:11:01,63.7506,-68.5145,10.4,85,90,21.85
187,Touros,BR,2021-02-04 19:11:02,-5.1989,-35.4608,86.0,54,20,18.41
188,Lasa,IT,2021-02-04 19:11:02,46.6166,10.7002,41.0,80,0,4.61
189,Urumqi,CN,2021-02-04 19:11:02,43.801,87.6005,12.2,85,42,2.24
190,Ribeira Grande,PT,2021-02-04 19:11:03,38.5167,-28.7,57.2,58,40,4.61
191,Doda,IN,2021-02-04 19:06:24,33.1333,75.5667,44.44,57,100,0.87
192,Beira,MZ,2021-02-04 19:11:03,-19.8436,34.8389,84.2,84,20,6.91
193,Delijan,IR,2021-02-04 19:11:04,33.9905,50.6838,49.1,42,96,1.16
194,Pimentel,PE,2021-02-04 19:11:05,-6.8367,-79.9342,80.6,54,0,14.97
195,Nouadhibou,MR,2021-02-04 19:11:05,20.931,-17.0347,66.2,77,20,11.5
196,Tooele,US,2021-02-04 19:11:06,40.5308,-112.2983,35.6,60,75,10.36
197,Upernavik,GL,2021-02-04 19:11:06,72.7868,-56.1549,-9.67,71,81,4.52
198,Balasheyka,RU,2021-02-04 19:11:07,53.2841,48.0851,32.45,98,100,6.26
199,Yamada,JP,2021-02-04 19:11:07,39.4667,141.95,22.8,85,2,19.89
200,Santa Lucia,ES,2021-02-04 19:11:07,27.9117,-15.5407,64.99,72,75,14.97
201,Brownwood,US,2021-02-04 19:11:08,31.7093,-98.9912,62.6,34,1,16.11
202,Toppenish,US,2021-02-04 19:11:08,46.3774,-120.3087,42.8,65,75,1.36
203,Jacareacanga,BR,2021-02-04 19:11:09,-6.2222,-57.7528,87.8,62,20,5.75
204,Samarai,PG,2021-02-04 19:11:09,-10.6167,150.6667,80.44,78,20,5.23
205,Clyde River,CA,2021-02-04 19:11:09,70.4692,-68.5914,-20.2,76,75,11.5
206,Metro,ID,2021-02-04 19:11:10,-5.1131,105.3067,73.69,94,100,10.65
207,Sabzevar,IR,2021-02-04 19:11:10,36.2126,57.6819,44.76,52,0,0.76
208,Lavrentiya,RU,2021-02-04 19:11:10,65.5833,-171.0,-12.08,86,100,17.54
209,Praia Da Vitoria,PT,2021-02-04 19:11:11,38.7333,-27.0667,53.6,87,75,26.55
210,Grindavik,IS,2021-02-04 19:11:11,63.8424,-22.4338,37.4,87,75,24.16
211,Sikasso,ML,2021-02-04 19:11:11,10.9167,-7.0,83.71,14,5,0.45
212,The Pas,CA,2021-02-04 19:11:12,53.8251,-101.2541,-2.2,78,90,10.36
213,Faanui,PF,2021-02-04 19:11:12,-16.4833,-151.75,81.03,67,53,5.28
214,Dingle,PH,2021-02-04 19:11:12,10.9995,122.6711,74.39,92,98,8.19
215,Noumea,NC,2021-02-04 19:11:13,-22.2763,166.4572,79.0,100,75,2.3
216,Kruisfontein,ZA,2021-02-04 19:11:13,-34.0033,24.7314,69.01,85,1,1.99
217,Campo Maior,BR,2021-02-04 19:09:49,-4.8278,-42.1686,91.53,48,70,1.68
218,Ust-Kut,RU,2021-02-04 19:11:14,56.7938,105.7672,3.54,92,100,3.42
219,Lorengau,PG,2021-02-04 19:11:14,-2.0226,147.2712,82.09,72,99,6.17
220,Boa Esperanca,BR,2021-02-04 19:11:15,-21.09,-45.5658,80.29,75,47,5.66
221,Poum,NC,2021-02-04 19:11:16,-20.2333,164.0167,80.08,81,45,14.76
222,Shirvan,AZ,2021-02-04 19:11:16,39.9509,48.8994,51.08,65,100,5.06
223,Rovaniemi,FI,2021-02-04 19:11:17,66.5,25.7167,15.8,92,20,6.91
224,Shenjiamen,CN,2021-02-04 19:11:17,29.9576,122.298,48.47,82,13,8.34
225,Lagoa,PT,2021-02-04 19:11:18,39.05,-27.9833,54.97,71,1,26.22
226,Governador Valadares,BR,2021-02-04 19:11:18,-18.8511,-41.9494,88.59,49,20,4.05
227,Marawi,PH,2021-02-04 19:11:18,7.9986,124.2928,73.99,92,80,5.99
228,Inuvik,CA,2021-02-04 19:11:19,68.3499,-133.7218,-34.6,67,20,2.3
229,North Platte,US,2021-02-04 19:10:50,41.1239,-100.7654,39.2,48,1,16.11
230,Ilebo,CD,2021-02-04 19:11:20,-4.3167,20.5833,75.15,80,50,0.67
231,Rigaud,CA,2021-02-04 19:11:21,45.4793,-74.3024,34.0,56,3,5.99
232,Ballina,AU,2021-02-04 19:11:21,-28.8667,153.5667,66.2,94,87,2.3
233,Nanortalik,GL,2021-02-04 19:11:22,60.1432,-45.2371,21.88,81,100,3.31
234,Port Hardy,CA,2021-02-04 19:11:22,50.6996,-127.4199,41.0,93,90,9.22
235,Talnakh,RU,2021-02-04 19:11:23,69.4865,88.3972,-21.96,86,97,1.92
236,Omboue,GA,2021-02-04 19:11:25,-1.5746,9.2618,79.92,85,100,4.81
237,Bratsk,RU,2021-02-04 19:11:25,56.1325,101.6142,6.8,85,40,8.95
238,Biharamulo,TZ,2021-02-04 19:11:26,-2.6319,31.3089,63.28,92,86,1.97
239,Piacabucu,BR,2021-02-04 19:11:27,-10.4056,-36.4344,83.61,67,0,15.66
240,Fort Smith,US,2021-02-04 19:11:27,35.3859,-94.3986,51.8,58,75,16.11
241,Goderich,CA,2021-02-04 19:11:27,43.7501,-81.7165,32.0,59,100,13.8
242,Qaqortoq,GL,2021-02-04 19:11:28,60.7167,-46.0333,19.4,38,20,4.59
243,Dali,CN,2021-02-04 19:11:28,25.7,100.1833,43.7,60,0,4.23
244,Carauari,BR,2021-02-04 19:11:29,-4.8828,-66.8958,92.05,53,28,3.18
245,Kloulklubed,PW,2021-02-04 19:11:29,7.0419,134.2556,83.59,75,17,23.67
246,Salta,AR,2021-02-04 19:09:14,-24.7859,-65.4117,77.0,47,75,10.36
247,Port Antonio,JM,2021-02-04 19:11:31,18.18,-76.4612,80.6,69,75,8.05
248,Taltal,CL,2021-02-04 19:11:31,-25.4,-70.4833,71.46,57,22,6.64
249,Sungairaya,ID,2021-02-04 19:11:32,0.7,108.9,75.24,92,100,6.4
250,Kousseri,CM,2021-02-04 19:11:32,12.0769,15.0306,82.4,15,0,13.8
251,Bardiyah,LY,2021-02-04 19:11:33,31.7561,25.0865,59.07,85,2,12.86
252,Izhmorskiy,RU,2021-02-04 19:11:34,56.194,86.6414,2.35,95,93,7.56
253,Huntington,US,2021-02-04 19:06:45,38.4193,-82.4452,39.99,52,40,3.44
254,Esperance,AU,2021-02-04 19:11:08,-33.8667,121.9,55.4,76,90,2.3
255,Gavrilovka Vtoraya,RU,2021-02-04 19:11:37,52.877,42.7663,34.48,98,100,10.98
256,Provideniya,RU,2021-02-04 19:11:37,64.3833,-173.3,-11.67,86,100,27.89
257,Cayenne,GF,2021-02-04 19:11:37,4.9333,-52.3333,78.8,83,75,14.97
258,Naze,JP,2021-02-04 19:11:38,28.3667,129.4833,54.86,70,9,3.47
259,Kimbe,PG,2021-02-04 19:11:38,-5.5502,150.1429,76.86,90,97,2.33
260,Simplicio Mendes,BR,2021-02-04 19:11:10,-7.8539,-41.9103,91.85,40,50,3.15
261,Jining,CN,2021-02-04 19:11:40,35.405,116.5814,42.24,58,100,8.52
262,Yar-Sale,RU,2021-02-04 19:11:40,66.8333,70.8333,-23.42,86,17,6.4
263,The Valley,AI,2021-02-04 19:11:41,18.217,-63.0578,84.2,69,20,13.8
264,Neyshabur,IR,2021-02-04 19:11:41,36.2133,58.7958,45.19,47,4,1.83
265,Fairbanks,US,2021-02-04 19:06:45,64.8378,-147.7164,-8.0,77,90,3.44
266,Netarhat,IN,2021-02-04 19:11:42,23.4833,84.2667,53.74,42,0,4.9
267,Sinnamary,GF,2021-02-04 19:11:42,5.3833,-52.95,79.61,75,100,14.74
268,Tura,IN,2021-02-04 19:11:44,25.5198,90.2201,62.02,52,0,3.94
269,Hofn,IS,2021-02-04 19:11:44,64.2539,-15.2082,35.74,81,100,13.82
270,Shache,CN,2021-02-04 19:11:45,38.4167,77.2406,28.6,82,0,2.26
271,Umm Kaddadah,SD,2021-02-04 19:11:45,13.6017,26.6876,71.44,21,95,16.67
272,Le Port,RE,2021-02-04 19:10:07,-20.9373,55.2919,78.8,69,48,12.66
273,Hay River,CA,2021-02-04 19:11:46,60.8156,-115.7999,-23.8,69,20,14.97
274,Myitkyina,MM,2021-02-04 19:11:46,25.3833,97.4,57.47,53,0,2.82
275,Dharmadam,IN,2021-02-04 19:11:06,11.7833,75.4333,76.08,82,3,4.0
276,Sarramea,NC,2021-02-04 19:11:47,-21.6421,165.8452,75.2,100,75,2.3
277,Bengkulu,ID,2021-02-04 19:11:49,-3.8004,102.2655,75.0,85,99,4.43
278,Roros,NO,2021-02-04 19:11:49,62.5747,11.3842,-22.0,69,20,1.14
279,Trat,TH,2021-02-04 19:11:49,12.5,102.5,70.63,85,82,2.46
280,Krasnystaw,PL,2021-02-04 19:11:50,50.9846,23.1742,28.4,86,90,10.36
281,Xuanzhou,CN,2021-02-04 19:11:50,30.9525,118.7553,46.71,90,100,5.14
282,Budogoshch,RU,2021-02-04 19:11:51,59.2816,32.4707,12.52,96,100,7.02
283,Wukari,NG,2021-02-04 19:11:51,7.85,9.7833,85.64,13,0,5.1
284,Bandarbeyla,SO,2021-02-04 19:11:52,9.4942,50.8122,73.87,70,0,13.6
285,Hauterive,FR,2021-02-04 19:11:53,46.0901,3.4459,48.2,76,0,1.14
286,Tombouctou,ML,2021-02-04 19:11:53,20.0,-3.0,75.52,14,32,6.08
287,New Ulm,US,2021-02-04 19:11:53,44.3125,-94.4605,15.01,85,90,24.16
288,Maningrida,AU,2021-02-04 19:11:54,-12.0667,134.2667,77.68,89,89,8.61
289,Tucurui,BR,2021-02-04 19:11:54,-3.7661,-49.6725,89.47,56,99,1.25
290,Kavieng,PG,2021-02-04 19:11:55,-2.5744,150.7967,82.36,77,100,9.82
291,Quatre Cocos,MU,2021-02-04 19:11:55,-20.2078,57.7625,80.6,74,20,9.22
292,Balkhash,KZ,2021-02-04 19:11:55,46.844,74.9804,26.71,98,100,0.34
293,Lardos,GR,2021-02-04 19:11:56,36.0942,28.0157,60.8,77,20,13.8
