City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
420,Ranfurly,NZ,77.0,broken clouds,-45.1333,170.1,Ranfurly Holiday Park Motels & Cabins
428,Kribi,CM,79.65,light rain,2.95,9.9167,Les Vagues bleues
435,Ambon,ID,89.6,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
438,Pitimbu,BR,77.0,few clouds,-7.4706,-34.8086,Reserva do Abiaí
440,Tubuala,PA,78.8,few clouds,9.5167,-79.0333,Río Nabagana
441,Piopio,NZ,81.0,overcast clouds,-38.4667,175.0167,Owls Nest Motel
448,Nabire,ID,82.02,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
450,Mahibadhoo,MV,81.19,overcast clouds,3.7833,72.9667,Omadhoo Inn
457,Ayapa,MX,77.0,clear sky,18.1833,-93.1667,LUPE
471,Morondava,MG,80.13,overcast clouds,-20.2833,44.2833,La Case Bambou
472,Porto Nacional,BR,75.2,moderate rain,-10.7081,-48.4172,Vila Real Hotel
473,Cayenne,GF,77.0,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
498,Vanimo,PG,81.39,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
503,Taitung,TW,77.0,few clouds,22.7583,121.1444,Taitung Bali Suites Hotel
506,Tamandare,BR,77.32,clear sky,-8.7597,-35.1047,Pousada 100 Passos
507,Sinnamary,GF,77.5,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
514,Pedasi,PA,79.39,overcast clouds,7.5333,-80.0333,Selina Pedasi
518,Humberto De Campos,BR,76.23,clear sky,-2.5983,-43.4611,Pousada do Cabeça
527,Port Hedland,AU,87.8,few clouds,-20.3167,118.5667,The Esplanade Hotel
528,Harper,LR,78.85,clear sky,4.375,-7.7169,Screensaver
530,Cap Malheureux,MU,75.0,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
534,Hambantota,LK,75.2,scattered clouds,6.1241,81.1185,Bungalow 63
542,Ewa Beach,US,75.2,light rain,21.3156,-158.0072,Base Lodging
544,Vila Velha,BR,82.4,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
563,Pringsewu,ID,82.31,broken clouds,-5.3582,104.9744,Urban Style by Front One
566,Samarai,PG,84.94,clear sky,-10.6167,150.6667,Nuli Sapi
578,Kampong Thum,KH,84.24,few clouds,12.7111,104.8887,Sambor Village Hotel
580,Lorengau,PG,82.04,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
590,San Pedro,PH,86.0,broken clouds,14.35,121.0167,OYO 412 Viewfort Venue
591,Moree,AU,75.2,light rain,-29.4667,149.85,Molika Springs Motel
593,Tecoanapa,MX,76.93,clear sky,16.5167,-98.75,Hotel Manglares
596,Maragogi,BR,76.8,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
597,Cocobeach,GA,78.8,scattered clouds,1.0002,9.5823,Hotel Esperance
603,Ballina,AU,84.2,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
604,Vao,NC,78.96,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
612,Bubaque,GW,77.52,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
619,Mitsamiouli,KM,82.53,broken clouds,-11.3847,43.2844,Foyer ADM
620,Hounde,BF,76.44,overcast clouds,11.5,-3.5167,Carrefour où ouvriers dorment
624,Puerto Ayacucho,VE,78.66,broken clouds,5.6639,-67.6236,Posada Turistica Manapiare
629,Saint-Joseph,RE,78.8,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
630,Les Cayes,HT,75.43,scattered clouds,18.2,-73.75,Villa Orphee
631,Boueni,YT,78.8,clear sky,-12.9025,45.0761,The feet in water
632,Alice Springs,AU,84.2,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
641,Kudahuvadhoo,MV,80.92,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
645,Ciudad Bolivar,VE,78.42,overcast clouds,8.1222,-63.5497,Hotel Edi
655,Galesong,ID,86.0,few clouds,-5.3166,119.3661,Sapriadi Appy
657,Grand Gaube,MU,75.0,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
658,Wanaka,NZ,77.77,broken clouds,-44.7,169.15,Wanaka Homestead Lodge and Cottages
662,Puerto Colombia,CO,78.8,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
666,Rangoon,MM,78.8,few clouds,16.8053,96.1561,"Sule Shangri-La, Yangon"
670,Santa Isabel Do Rio Negro,BR,75.04,heavy intensity rain,-0.4139,-65.0192,Hotel GSA
672,Cam Ranh,VN,80.6,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
673,Matara,LK,79.59,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
676,Grand-Bourg,GP,75.2,clear sky,15.8835,-61.3148,Coco Beach Resort
677,Santa Marta,CO,84.2,broken clouds,11.2408,-74.199,Hotel La Ballena Azul
678,Quatre Cocos,MU,78.8,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
689,Kudat,MY,78.8,scattered clouds,6.8837,116.8477,Dream Garden Hotel
692,Lamu,KE,77.0,clear sky,-2.2717,40.902,Lamu House
696,Tabou,CI,78.35,clear sky,4.423,-7.3528,hotêl doufoulougou
700,Gushikawa,JP,75.2,clear sky,26.3544,127.8686,Kirari Guest House
706,Denpasar,ID,80.6,broken clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
709,Tual,ID,83.91,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
