City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
119,Luderitz,NA,-26.6481,15.1594,68.77,56,0,18.19,clear sky
120,Takoradi,GH,4.8845,-1.7554,79.11,88,99,6.51,overcast clouds
121,Hilo,US,19.7297,-155.09,75.2,60,90,9.22,light rain
122,Arraial Do Cabo,BR,-22.9661,-42.0278,74.73,95,100,18.84,light rain
123,Abbotsford,CA,49.058,-122.2526,44.01,87,75,5.75,light rain
124,Wabash,US,40.7978,-85.8205,15.01,81,9,8.99,clear sky
125,Tasiilaq,GL,65.6145,-37.6368,26.6,68,90,5.75,overcast clouds
126,Lyngseidet,NO,69.5763,20.2189,30.2,69,75,16.11,light snow
127,Mackay,AU,-21.15,149.2,87.01,66,40,12.66,scattered clouds
128,Mpika,ZM,-11.8343,31.4529,61.59,95,100,1.74,overcast clouds
129,New Norfolk,AU,-42.7826,147.0587,79.0,47,58,3.0,broken clouds
130,Anadyr,RU,64.75,177.4833,1.4,85,75,11.18,snow
131,Beringovskiy,RU,63.05,179.3167,-7.96,87,77,5.75,broken clouds
132,Mareeba,AU,-17.0,145.4333,87.8,70,86,4.61,overcast clouds
133,Tuatapere,NZ,-46.1333,167.6833,66.47,68,19,8.21,few clouds
134,Torbay,CA,47.6666,-52.7314,34.0,93,75,27.63,broken clouds
135,Alta Floresta,BR,-9.8756,-56.0861,73.44,96,100,2.35,overcast clouds
136,Cabedelo,BR,-6.9811,-34.8339,78.8,83,0,4.61,clear sky
137,Mocuba,MZ,-16.8392,36.9856,73.0,98,80,2.08,broken clouds
138,Katsuura,JP,35.1333,140.3,55.99,57,20,6.91,few clouds
139,Maceio,BR,-9.6658,-35.7353,75.2,88,40,8.05,scattered clouds
140,Leningradskiy,RU,69.3833,178.4167,-9.04,87,100,7.14,overcast clouds
141,Pahrump,US,36.2083,-115.9839,54.0,28,0,1.01,clear sky
142,Road Town,VG,18.4167,-64.6167,78.01,84,1,3.0,clear sky
143,Byron Bay,AU,-28.65,153.6167,84.2,69,40,11.5,scattered clouds
144,La Ronge,CA,55.1001,-105.2842,-22.0,69,62,9.22,broken clouds
145,Dauphin,CA,51.1494,-100.0502,-13.0,64,1,9.22,clear sky
146,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.76,92,100,15.88,overcast clouds
147,Hasaki,JP,35.7333,140.8333,59.0,50,20,4.61,few clouds
148,Bengkulu,ID,-3.8004,102.2655,85.51,61,97,3.04,overcast clouds
149,Ponta Do Sol,PT,32.6667,-17.1,50.0,69,50,3.0,scattered clouds
150,Provideniya,RU,64.3833,-173.3,8.44,93,100,3.27,overcast clouds
151,Antofagasta,CL,-23.65,-70.4,66.2,72,90,8.05,overcast clouds
152,Walvis Bay,NA,-22.9575,14.5053,64.99,94,1,1.14,clear sky
153,Zhuanghe,CN,39.7008,122.9911,37.92,72,0,5.19,clear sky
154,Constitucion,CL,-35.3333,-72.4167,56.26,89,2,0.94,clear sky
155,Okhotsk,RU,59.3833,143.3,2.28,87,98,8.57,overcast clouds
156,Labuhan,ID,-6.8844,112.2051,83.53,76,60,14.29,broken clouds
157,Babina,IN,25.25,78.4667,57.38,51,0,3.11,clear sky
158,Ancud,CL,-41.8697,-73.8203,68.0,60,0,11.5,clear sky
159,Dalbandin,PK,28.8947,64.4101,46.87,43,0,3.4,clear sky
160,Gunnedah,AU,-30.9833,150.25,72.0,88,100,1.77,overcast clouds
161,Clyde River,CA,70.4692,-68.5914,-14.8,76,90,4.61,light snow
162,High Level,CA,58.5169,-117.136,-23.8,83,1,3.44,clear sky
163,Zyryanovsk,KZ,49.7386,84.2719,26.82,98,100,0.58,light snow
164,Udachnyy,RU,66.4167,112.4,-33.65,77,2,2.62,clear sky
165,Roma,US,43.2128,-75.4557,30.2,74,90,10.36,overcast clouds
166,Eyl,SO,7.9803,49.8164,69.51,81,48,11.43,scattered clouds
167,Bluff,NZ,-46.6,168.3333,60.84,70,11,7.11,few clouds
168,Guerrero Negro,MX,27.9769,-114.0611,59.83,71,0,15.3,clear sky
169,Chokurdakh,RU,70.6333,147.9167,-18.96,86,53,12.03,broken clouds
170,Geraldton,AU,-28.7667,114.6,69.8,73,90,20.71,light rain
171,Natal,BR,-5.795,-35.2094,77.0,83,20,5.75,few clouds
172,Vila Franca Do Campo,PT,37.7167,-25.4333,57.2,88,75,8.05,broken clouds
173,Jiayuguan,CN,39.8167,98.3,33.55,63,100,1.41,overcast clouds
174,Naze,JP,28.3667,129.4833,73.4,60,20,19.57,few clouds
175,Kiama,AU,-34.6833,150.8667,72.0,93,100,7.0,light rain
176,Vega De Alatorre,MX,20.0333,-96.6333,70.65,87,1,5.99,clear sky
177,Inirida,CO,3.8653,-67.9239,75.61,93,100,1.7,overcast clouds
178,Ligayan,PH,4.6533,119.4706,80.44,81,100,9.4,overcast clouds
179,Surt,LY,31.2089,16.5887,62.62,41,20,14.12,few clouds
180,Maralal,KE,1.0968,36.698,56.46,77,9,2.1,clear sky
181,Vaitape,PF,-16.5167,-151.75,81.7,64,2,4.23,clear sky
182,Kieta,PG,-6.2167,155.6333,87.64,58,7,9.6,clear sky
183,Sorong,ID,-0.8833,131.25,82.94,75,100,5.03,overcast clouds
184,Cidreira,BR,-30.1811,-50.2056,66.25,77,0,12.39,clear sky
185,Oga,IT,46.4631,10.347,39.99,100,75,12.66,broken clouds
186,Bandipur,NP,27.9333,84.4167,52.12,52,12,0.49,few clouds
187,Katherine,AU,-14.4667,132.2667,78.8,89,75,4.61,broken clouds
188,Kattivakkam,IN,13.2167,80.3167,73.4,78,20,2.3,mist
189,Chaoyang,CN,41.5703,120.4586,35.11,73,72,12.5,broken clouds
190,Canto Do Buriti,BR,-8.11,-42.9444,75.96,73,79,2.77,broken clouds
191,Arica,CL,-18.475,-70.3042,69.8,68,75,4.61,broken clouds
192,Beloha,MG,-25.1667,45.05,75.52,86,100,4.07,overcast clouds
193,Kavieng,PG,-2.5744,150.7967,80.46,80,100,3.22,overcast clouds
194,Santa Maria Del Oro,MX,25.9333,-105.3667,60.55,30,0,11.05,clear sky
195,Gorontalo,ID,0.5412,123.0595,82.38,82,100,3.98,overcast clouds
196,Maine-Soroa,NE,13.2114,12.0241,61.39,35,4,11.43,clear sky
197,Ca Mau,VN,9.1769,105.15,86.29,52,42,9.57,scattered clouds
198,Fougamou,GA,-1.2154,10.5838,74.64,91,99,0.83,overcast clouds
199,Mildura,AU,-34.2,142.15,75.99,49,90,14.97,overcast clouds
200,Puri,IN,19.8,85.85,64.4,72,0,6.2,haze
201,Ugoofaaru,MV,5.6667,73.0,81.45,74,96,10.74,overcast clouds
202,Georgetown,MY,5.4112,100.3354,86.0,65,20,3.44,few clouds
203,Lixourion,GR,38.2019,20.4314,58.01,80,90,8.52,overcast clouds
204,Xingcheng,CN,40.6167,120.7167,37.56,74,0,9.84,clear sky
205,Isangel,VU,-19.55,169.2667,87.8,66,20,3.44,few clouds
206,Watertown,US,42.3709,-71.1828,37.99,93,90,6.22,overcast clouds
207,Ilulissat,GL,69.2167,-51.1,8.6,40,99,1.14,overcast clouds
208,Marsh Harbour,BS,26.5412,-77.0636,72.36,79,0,10.18,clear sky
209,Christchurch,NZ,-43.5333,172.6333,64.4,59,20,20.71,few clouds
210,Rio Gallegos,AR,-51.6226,-69.2181,44.6,61,0,6.91,clear sky
211,Fort Nelson,CA,58.8053,-122.7002,-20.2,76,20,3.44,few clouds
212,Te Anau,NZ,-45.4167,167.7167,77.59,33,4,1.43,clear sky
213,Sosnogorsk,RU,63.6023,53.8817,-11.67,88,100,12.06,overcast clouds
214,Ribeira Grande,PT,38.5167,-28.7,59.18,84,100,13.96,overcast clouds
215,Codrington,AU,-38.2667,141.9667,69.64,51,8,13.29,clear sky
216,Spanish Town,JM,17.9911,-76.9574,80.6,78,20,17.27,few clouds
217,Nishihara,JP,26.1842,127.7558,75.2,40,40,9.22,scattered clouds
218,Shediac,CA,46.2198,-64.5411,34.0,93,75,5.75,broken clouds
219,Sao Filipe,CV,14.8961,-24.4956,69.42,75,9,13.18,clear sky
